LAT	LONG
0.4607691	34.1114621
0.4607691	34.1114621
0.4607691	34.1114621
-0.083333	35.133333
-0.083333	35.133333
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.2827307	34.7518631
0.1799594	34.6346638
0.1799594	34.6346638
0.636206	34.2782765
0.636206	34.2782765
0.636206	34.2782765
0.636206	34.2782765
0.636206	34.2782765
0.4450431	34.8541389
0.5628257	34.8060527
0.2326373	34.523962
0.1102302	34.8306809
0.0921041	34.7298765
0.616667	34.766667
0.616667	34.766667
0.616667	34.766667
-3.527136	39.853284
-2.969136	37.604938
-1.415498	35.325362
-2.038822	37.367648
-1.9079	37.527099
-1.327415	37.337621
-1.337199	36.987498
-0.869415	36.507598
-0.140008	36.622184
-0.147023	37.131575
0.161263	37.602388
-1.741083	36.904363
-0.677746	34.771937
-0.677746	34.771937
-1.696759	41.422484
-1.97859	41.034969
-2.380224	40.700589
-1.118045	41.028565
-1.447941	39.969083
0.330094	40.772535
0.098311	40.268419
1.019452	39.441247
1.755988	40.009927
2.808062	40.912624
3.420693	40.893179
3.881934	41.775344
3.89334	41.162483
3.867811	40.428832
3.381175	40.166971
2.509077	39.555135
3.46981	39.004505
1.060663	38.59676
1.596587	37.751867
2.336107	37.924734
2.774124	38.068106
3.691216	37.914287
2.965642	37.615613
4.006785	37.230346
3.32396	37.036166
3.014514	36.959043
2.771681	36.743742
2.103473	36.757726
1.7626	36.785508
1.673213	36.022988
1.963787	35.978659
3.00001	36.035058
3.540341	35.755769
4.03521	35.770891
4.265026	35.796637
4.29332	35.727187
4.59116	35.893492
5.273254	35.767796
5.007949	35.530304
3.943861	35.443009
3.79305	34.313221
3.711657	34.845995
3.665346	34.9883
2.922863	35.387896
2.737701	34.827234
2.280222	35.610184
-0.534739	34.487577
