TOWN,LAT,LNG
14th Falls Estate,NO_RESULTS,NO_RESULTS
3G market,-1.27897800000000000000,36.91572620000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabazi,-0.03300190000000000000,36.19952200000000000000
Kabebero,-0.54765580000000000000,36.86951640000000000000
Kabel town,0.30925180000000000000,36.22884190000000000000
Kabel town,0.30925180000000000000,36.22884190000000000000
Kabiruini,-0.41076000000000000000,37.07759550000000000000
Kabiruini,-0.41076000000000000000,37.07759550000000000000
Kabonge,-1.33333330000000000000,38.05000000000000000000
Kabote Market,NO_RESULTS,NO_RESULTS
Kaburu Market,NO_RESULTS,NO_RESULTS
Kaburugi,-0.93977800000000000000,37.03592450000000000000
Kaburugi,-0.93977800000000000000,37.03592450000000000000
Kabuta,-0.56584300000000000000,37.07749490000000000000
Kabuta,-0.56584300000000000000,37.07749490000000000000
Kagambi Mkt,NO_RESULTS,NO_RESULTS
Kaganda Town,NO_RESULTS,NO_RESULTS
Kagere,-0.50727420000000000000,36.94073440000000000000
Kagicha,-0.59958080000000000000,36.90013650000000000000
Kagicha,-0.59958080000000000000,36.90013650000000000000
Kagio,-0.62515000000000000000,37.25306860000000000000
Kagochi,-0.43800130000000000000,37.14992670000000000000
Kagonye,-0.52450400000000000000,36.91165920000000000000
Kaguku Market,NO_RESULTS,NO_RESULTS
Kaguku Market,NO_RESULTS,NO_RESULTS
Kaguku Market,NO_RESULTS,NO_RESULTS
Kaguku Market,NO_RESULTS,NO_RESULTS
Kaguku Market,NO_RESULTS,NO_RESULTS
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagumo,-0.47650970000000000000,37.23634340000000000000
Kagunduini,-0.33638890000000000000,38.08111110000000000000
Kaharate market,NO_RESULTS,NO_RESULTS
Kaharuini,-1.22784110000000000000,36.90572880000000000000
Kahatia,-0.73249390000000000000,36.92683830000000000000
Kahatia,-0.73249390000000000000,36.92683830000000000000
Kahatia,-0.73249390000000000000,36.92683830000000000000
Kahatia,-0.73249390000000000000,36.92683830000000000000
Kahatia,-0.73249390000000000000,36.92683830000000000000
Kahatia Market,NO_RESULTS,NO_RESULTS
Kaheti,-0.53952440000000000000,37.04257890000000000000
Kahiga,-0.45498370000000000000,36.41125020000000000000
Kahoroko,-0.36078030000000000000,36.44117090000000000000
Kahuguini,-1.03726490000000000000,36.91418050000000000000
Kahuhia,-0.71344030000000000000,37.03735020000000000000
Kahuhia,-0.71344030000000000000,37.03735020000000000000
Kahuhia,-0.71344030000000000000,37.03735020000000000000
Kahuhia Town,-0.71344030000000000000,37.03735020000000000000
Kahuro,-0.75044460000000000000,36.99120900000000000000
kahuro,-0.75044460000000000000,36.99120900000000000000
Kahuro,-0.75044460000000000000,36.99120900000000000000
Kahuro,-0.75044460000000000000,36.99120900000000000000
Kahuro,-0.75044460000000000000,36.99120900000000000000
Kahuruko,-0.75044460000000000000,36.99120900000000000000
Kahuruko,-0.75044460000000000000,36.99120900000000000000
Kahuti,NO_RESULTS,NO_RESULTS
Kahuti,NO_RESULTS,NO_RESULTS
Kahuti Town,NO_RESULTS,NO_RESULTS
Kainyinyo,NO_RESULTS,NO_RESULTS
Kairi market,NO_RESULTS,NO_RESULTS
Kairo,30.09701040000000000000,31.32585440000000000000
Kairo,30.09701040000000000000,31.32585440000000000000
Kairuri,-0.71344030000000000000,37.03735020000000000000
Kairuri,-0.71344030000000000000,37.03735020000000000000
Kairuthi,-0.53506410000000000000,36.89094010000000000000
kajuki,-0.34558830000000000000,37.84497500000000000000
Kakuzi,-1.02055560000000000000,37.31805560000000000000
Kalalu,0.06663680000000000000,37.16447350000000000000
Kalalu,0.06663680000000000000,37.16447350000000000000
Kamacharia,-0.60192030000000000000,36.99070550000000000000
Kamachege,NO_RESULTS,NO_RESULTS
Kamachege,NO_RESULTS,NO_RESULTS
Kamae,-0.85000000000000000000,36.63333300000000000000
Kamahuha,-0.84457280000000000000,37.17869990000000000000
Kamahuha,-0.84457280000000000000,37.17869990000000000000
Kamahuha,-0.84457280000000000000,37.17869990000000000000
Kamahuha,-0.84457280000000000000,37.17869990000000000000
Kamakwa,-0.43349460000000000000,36.93529710000000000000
Kamakwa,-0.43349460000000000000,36.93529710000000000000
Kamaoo,-1.21880040000000000000,36.77426580000000000000
Kamatharau Estate,NO_RESULTS,NO_RESULTS
Kambandi,-0.35805110000000000000,37.66927600000000000000
Kambi,-1.05843810000000000000,37.12409780000000000000
Kambi Ya mawe,NO_RESULTS,NO_RESULTS
Kambiti,0.08850210000000000000,37.68844840000000000000
Kambiti,0.08850210000000000000,37.68844840000000000000
Kamenu,-1.05946090000000000000,37.10652400000000000000
Kamenu,-1.05946090000000000000,37.10652400000000000000
Kamenu,-1.05946090000000000000,37.10652400000000000000
Kamenu,-1.05946090000000000000,37.10652400000000000000
Kamenu,-1.05946090000000000000,37.10652400000000000000
Kamomo,NO_RESULTS,NO_RESULTS
Kamugunda,-1.30556710000000000000,37.34532150000000000000
Kamugunda,-1.30556710000000000000,37.34532150000000000000
Kamugunda,-1.30556710000000000000,37.34532150000000000000
Kamuiru,-0.79030530000000000000,37.16679230000000000000
