"","WARD"
"3377","EMSOO"
"3402","ENDO"
"3414","ENGINEER"
"3420","ETENJE"
"3449","EVURORE"
"3482","FAFI"
"3486","FAZA"
"3501","GAICHANJIRU"
"3529","GAKAWA"
"3551","GALBET"
"3561","GANDA"
"3584","GANZE"
"3622","GARSEN CENTRAL"
"3625","GARSEN NORTH"
"3640","GARSEN SOUTH"
"3652","GARSEN WEST"
"3655","GATANGA"
"3680","GATARAKWA"
"3690","GATHANJI"
"3700","GATHARA"
"3714","GATHIGIRIRI"
"3727","GATINA"
"3728","GATITU/MURUGURU"
"3742","GATURI"
"3793","GATURI NORTH"
"3813","GATURI SOUTH"
"3822","GEMBE"
"3829","GETA"
"3843","GITARU"
"3852","GITHABAI"
"3854","GITHIGA"
"3884","GITHIORO"
"3890","GITHOBOKONI"
"3904","GITHURAI"
"3906","GITOTHUA"
"3911","GITUAMBA"
"3937","GITUGI"
"3972","GODOMA"
"3978","GONGONI"
"4005","GURAR"
"4011","GUTICHA"
"4014","GWASSI NORTH"
"4017","GWASSI SOUTH"
"4102","HARAMBEE"
"4104","HONGWE"
"4121","HOSPITAL"
"4139","HULUGHO"
"4143","HURUMA"
"4149","IBRAHIM URE"
"4161","ICHAGAKI"
"4189","IDAKHO SOUTH"
"4289","IGOJI EAST"
"4300","IGOJI WEST"
"4310","IJARA"
"4318","IKANGA/KYATUNE"
"4360","IKINU"
"4377","IKOMBE"
"4417","ILCHAMUS"
"4422","ILDAMAT"
"4472","ILIMA"
"4515","ILKERIN"
"4553","ILOODOKILANI"
"4564","IMARA DAIMA"
"4567","IMARORO"
"4576","INOI"
"4643","ISUKHA EAST"
"4672","ISUKHA WEST"
"4776","ITHANGA"
"4806","ITHIRU"
"4834","JARAJILA"
"4840","JARIBUNI"
"4867","JILORE"
"4887","JUJA"
"4897","JUNJU"
"4904","KABARE"
"4934","KABARNET"
"4980","KABARTONJO"
"5009","KABETE"
"5129","KABIEMIT"
"5162","KABIRO"
"5163","KABISAGA"
"5176","KABIYET"
"5211","KABONDO EAST"
"5241","KABONDO WEST"
"5363","KABULA"
"5382","KABUOCH NORTH"
"5409","KABUOCH SOUTH/PALA"
"5441","KABWARENG"
"5464","KAERIS"
"5477","KAGAARI NORTH"
"5499","KAGAARI SOUTH"
"5506","KAGAN"
"5577","KAHAWA"
"5579","KAHAWA WEST"
"5581","KAHUMBU"
"5594","KAIMBAGA"
"5611","KAJULU"
"5624","KAKSINGRI WEST"
"5647","KAKUMA"
"5663","KAKUYUNI"
"5681","KAKUZI/MITUBIRI"
"5705","KALAMA"
"5781","KALAPATA"
"5786","KALAWA"
"5870","KALIMONI"
"5994","KALOBEYEI"
"6005","KALOKOL"
"6014","KALOLENI"
"6076","KAMACHARIA"
"6096","KAMAHUHA"
"6113","KAMARINY"
"6134","KAMBE/RIBE"
"6139","KAMBITI"
"6157","KAMBURU"
"6168","KAMENU"
"6174","KAMUKUYWA"
"6194","KANAMKEMER"
"6203","KANGAI"
"6218","KANGARI"
"6239","KANGEMI"
"6244","KANGUNDO CENTRAL"
"6263","KANGUNDO EAST"
"6290","KANGUNDO NORTH"
"6311","KANGUNDO WEST"
"6338","KANYADOTO"
"6371","KANYALUO"
"6393","KANYAMWA KOLOGI"
"6402","KANYAMWA KOSEWE"
"6431","KANYANGI"
"6492","KANYIKELA"
"6506","KAPCHEMUTWA"
"6531","KAPCHOK"
"6540","KAPCHORUA"
