"","TOWN","LAT","LNG"
"279","Kabuta","-0.565843","37.0774949"
"280","Kabuta","-0.565843","37.0774949"
"283","Kagere","-0.5072742","36.9407344"
"284","Kagicha","-0.5995808","36.9001365"
"285","Kagicha","-0.5995808","36.9001365"
"286","Kagio","-0.62515","37.2530686"
"287","Kagochi","-0.4380013","37.1499267"
"288","Kagonye","-0.524504","36.9116592"
"294","Kagumo","-0.4765097","37.2363434"
"295","Kagumo","-0.4765097","37.2363434"
"296","Kagumo","-0.4765097","37.2363434"
"297","Kagumo","-0.4765097","37.2363434"
"298","Kagumo","-0.4765097","37.2363434"
"299","Kagumo","-0.4765097","37.2363434"
"300","Kagumo","-0.4765097","37.2363434"
"301","Kagumo","-0.4765097","37.2363434"
"302","Kagumo","-0.4765097","37.2363434"
"303","Kagumo","-0.4765097","37.2363434"
"304","Kagumo","-0.4765097","37.2363434"
"305","Kagumo","-0.4765097","37.2363434"
"306","Kagumo","-0.4765097","37.2363434"
"307","Kagunduini","-0.3363889","38.0811111"
"309","Kaharuini","-1.2278411","36.9057288"
"310","Kahatia","-0.7324939","36.9268383"
"311","Kahatia","-0.7324939","36.9268383"
"312","Kahatia","-0.7324939","36.9268383"
"313","Kahatia","-0.7324939","36.9268383"
"314","Kahatia","-0.7324939","36.9268383"
"316","Kaheti","-0.5395244","37.0425789"
"317","Kahiga","-0.4549837","36.4112502"
"318","Kahoroko","-0.3607803","36.4411709"
"319","Kahuguini","-1.0372649","36.9141805"
"320","Kahuhia","-0.7134403","37.0373502"
"321","Kahuhia","-0.7134403","37.0373502"
"322","Kahuhia","-0.7134403","37.0373502"
"323","Kahuhia Town","-0.7134403","37.0373502"
"324","Kahuro","-0.7504446","36.991209"
"325","kahuro","-0.7504446","36.991209"
"326","Kahuro","-0.7504446","36.991209"
"327","Kahuro","-0.7504446","36.991209"
"328","Kahuro","-0.7504446","36.991209"
"329","Kahuruko","-0.7504446","36.991209"
"330","Kahuruko","-0.7504446","36.991209"
"336","Kairo","30.0970104","31.3258544"
"337","Kairo","30.0970104","31.3258544"
"338","Kairuri","-0.7134403","37.0373502"
"339","Kairuri","-0.7134403","37.0373502"
"340","Kairuthi","-0.5350641","36.8909401"
"341","kajuki","-0.3455883","37.844975"
"342","Kakuzi","-1.0205556","37.3180556"
"343","Kalalu","0.0666368","37.1644735"
"344","Kalalu","0.0666368","37.1644735"
"345","Kamacharia","-0.6019203","36.9907055"
"348","Kamae","-0.85","36.633333"
"349","Kamahuha","-0.8445728","37.1786999"
"350","Kamahuha","-0.8445728","37.1786999"
"351","Kamahuha","-0.8445728","37.1786999"
"352","Kamahuha","-0.8445728","37.1786999"
"353","Kamakwa","-0.4334946","36.9352971"
"354","Kamakwa","-0.4334946","36.9352971"
"355","Kamaoo","-1.2188004","36.7742658"
"357","Kambandi","-0.3580511","37.669276"
"358","Kambi","-1.0584381","37.1240978"
"360","Kambiti","0.0885021","37.6884484"
"361","Kambiti","0.0885021","37.6884484"
"362","Kamenu","-1.0594609","37.106524"
"363","Kamenu","-1.0594609","37.106524"
"364","Kamenu","-1.0594609","37.106524"
"365","Kamenu","-1.0594609","37.106524"
"366","Kamenu","-1.0594609","37.106524"
"368","Kamugunda","-1.3055671","37.3453215"
"369","Kamugunda","-1.3055671","37.3453215"
"370","Kamugunda","-1.3055671","37.3453215"
"371","Kamuiru","-0.7903053","37.1667923"
"372","Kamuiru","-0.7903053","37.1667923"
"373","Kamukabi","-0.7703519","36.9362926"
"374","Kamukabi","-0.7703519","36.9362926"
"375","Kamune","-0.6","37.0166667"
"376","Kamurugu","-0.7479543","37.6569271"
"377","Kamurugu","-0.7479543","37.6569271"
"378","Kamwana","-0.4343813","37.3838282"
"380","Kamwangi","-0.9588184","36.899007"
"381","Kamwangi","-0.9588184","36.899007"
"382","Kamwangi","-0.9588184","36.899007"
"383","Kamwangi","-0.9588184","36.899007"
"384","Kamwangi","-0.9588184","36.899007"
"385","Kamwangi","-0.9588184","36.899007"
"386","Kamwangi","-0.9588184","36.899007"
"387","Kamwangi","-0.9588184","36.899007"
"388","Kamwangi","-0.9588184","36.899007"
"389","Kamweti","-0.333333","37.316667"
"390","Kamweti","-0.333333","37.316667"
"391","Kamwimbi","-0.4430232","37.7539265"
"392","Kamwimbi","-0.4430232","37.7539265"
"393","kandara","-1.2755919","36.7894374"
"394","kandara","-1.2755919","36.7894374"
"395","kandara","-1.2755919","36.7894374"
"396","kandara","-1.2755919","36.7894374"
"397","kandara","-1.2755919","36.7894374"
"398","Kandara","-1.2755919","36.7894374"
"401","Kangaita","-0.4240716","37.2677836"
"402","Kangari","-0.7857493","36.9111145"
"403","Kangari","-0.7857493","36.9111145"
"404","Kangari","-0.7857493","36.9111145"
"405","Kangari","-0.7857493","36.9111145"
"406","Kangari","-0.7857493","36.9111145"
"407","Kangari","-0.7857493","36.9111145"
"408","kangari","-0.7857493","36.9111145"
"409","Kangari","-0.7857493","36.9111145"
