WARD,FAC_NUM,ELEC_NUM,SCHOOLS,TRADE,HEALTH,E_SCHOOLS,E_TRADE,E_HEALTH,Male,Female,total_pop,fac_1000,elec_fac_1000,schools_1000,trade_1000,health_1000,e_schools_1000,e_trade_1000,e_health_1000
ATHI RIVER,11,11,7,3,1,7,3,1,1510,952,2462,4.467912266,4.467912266,2.843216897,1.218521527,0.406173842,2.843216897,1.218521527,0.406173842
AWASI/ONJIKO,6,4,2,1,3,2,0,2,893,292,1185,5.063291139,3.375527426,1.687763713,0.843881857,2.53164557,1.687763713,0,1.687763713
BAAWA,8,0,0,5,3,0,0,0,77,1139,1216,6.578947368,0,0,4.111842105,2.467105263,0,0,0
BABA DOGO,3,3,2,0,1,2,0,1,1430,887,2317,1.29477773,1.29477773,0.863185153,0,0.431592577,0.863185153,0,0.431592577
BAHARI,12,3,4,4,4,2,1,0,255,1370,1625,7.384615385,1.846153846,2.461538462,2.461538462,2.461538462,1.230769231,0.615384615,0
BALAMBALA,9,5,1,5,3,1,1,3,547,182,729,12.34567901,6.858710562,1.371742112,6.858710562,4.115226337,1.371742112,1.371742112,4.115226337
BAMBA,43,43,6,33,4,6,33,4,1389,746,2135,20.14051522,20.14051522,2.81030445,15.45667447,1.8735363,2.81030445,15.45667447,1.8735363
BANGALE,4,0,0,3,1,0,0,0,188,1289,1477,2.708192282,0,0,2.031144211,0.67704807,0,0,0
BARAGWI,23,17,9,10,4,9,4,4,525,1617,2142,10.73762838,7.936507937,4.201680672,4.66853408,1.867413632,4.201680672,1.867413632,1.867413632
BARAKI,7,0,0,5,2,0,0,0,1648,1130,2778,2.519798416,0,0,1.799856012,0.719942405,0,0,0
BARTABWA,21,0,4,12,5,0,0,0,78,1165,1243,16.89460981,0,3.218020917,9.654062751,4.022526146,0,0,0
BARWAQO,6,0,2,2,2,0,0,0,1097,618,1715,3.498542274,0,1.166180758,1.166180758,1.166180758,0,0,0
BARWESSA,40,13,6,24,10,4,6,3,784,233,1017,39.33136676,12.7826942,5.899705015,23.59882006,9.832841691,3.933136676,5.899705015,2.949852507
