"","WARD","FAC_NUM","ELEC_NUM","SCHOOLS","TRADE","HEALTH","E_SCHOOLS","E_TRADE","E_HEALTH","Male","Female","total_pop","fac_1000","elec_fac_1000","schools_1000","trade_1000","health_1000","e_schools_1000","e_trade_1000","e_health_1000","crop_diversity","crop_intensity","gov_irrigation","prop_irrigation","small_irrigation","distance_major_roads","distance_second_roads","distance_major_town","water_points","num_equity","distance_rivers","num_offgrid","ward_area","dist_trans","pop_density"
"406","KIUU",3,2,2,0,1,1,0,1,1491,917,2408,1.245847176,0.830564784,0.830564784,0,0.415282392,0.415282392,0,0.415282392,0.5,44.54545455,0,0,0,8.60019008371,8.60019008371,17513.74850937,0,1,8.66087097088,0,150,0,16.0533333333333
"407","KIVAA",32,22,13,8,11,11,3,8,1284,673,1957,16.35155851,11.24169647,6.642820644,4.087889627,5.620848237,5.620848237,1.53295861,4.087889627,0.534,39.16666667,0,0,0,9.30785585118,9.30785585118,33054.41394806,1,3,11.9450591294,0,518,9,3.77799227799228
"408","KIWAWA",22,0,2,10,10,0,0,0,1035,461,1496,14.70588235,0,1.336898396,6.684491979,6.684491979,0,0,0,0,15,0,0,0,39.6664267988,39.6664267988,102356.55807085,0,0,30.3774432638,0,1203,35,1.24355777223608
"409","KOBUJOI",50,34,10,32,8,10,18,6,935,387,1322,37.8214826,25.71860817,7.56429652,24.20574887,6.051437216,7.56429652,13.61573374,4.538577912,1.0425,60,0,0,0,22.054556593,22.054556593,27924.13669368,0,0,10.395607823,0,79,13,16.7341772151899
"410","KOBURA",17,12,6,5,6,4,5,3,1356,744,2100,8.095238095,5.714285714,2.857142857,2.380952381,2.857142857,1.904761905,2.380952381,1.428571429,1.66142857,68.33333333,1,1,17,6.9151943535,6.9151943535,7965.11815607,0,0,14.1596437273,0,164,10,12.8048780487805
"411","KOCHIA",25,25,22,0,3,22,0,3,911,290,1201,20.81598668,20.81598668,18.31806828,0,2.497918401,18.31806828,0,2.497918401,1.565,38.33333333,0,0,7,24.5542164877,24.5542164877,7660.92398163,0,0,29.7378611192,0,100,8,12.01
"412","KODICH",13,0,1,6,6,0,0,0,690,167,857,15.16919487,0,1.166861144,7.001166861,7.001166861,0,0,0,0,19,0,0,0,37.0337166036,37.0337166036,45135.37279399,0,0,7.37317002799,0,294,45,2.91496598639456
"413","KOIBATEK",17,12,5,6,6,5,2,5,83,1187,1270,13.38582677,9.448818898,3.937007874,4.724409449,4.724409449,3.937007874,1.57480315,3.937007874,0.91,67.85714286,0,0,0,13.8461274972,13.8461274972,12591.42125003,0,0,28.2356761019,0,224,8,5.66964285714286
"414","KOJWACH",49,41,17,15,17,13,14,14,372,1424,1796,27.28285078,22.8285078,9.465478842,8.351893096,9.465478842,7.23830735,7.795100223,7.795100223,3.97333333,67.5,0,0,0,0.963810129288,0.963810129288,21138.48025392,0,0,20.6547539607,0,34,24,52.8235294117647
"415","KOKWANYO/KAKELO",31,23,18,6,7,12,5,6,927,299,1226,25.28548124,18.76019576,14.68189233,4.893964111,5.709624796,9.787928222,4.078303426,4.893964111,2.98428571,54.5,0,0,0,4.49685820186,4.49685820186,26853.76864577,0,0,17.044016217,0,73,27,16.7945205479452
"416","KOLA",41,19,13,22,6,6,11,2,803,210,1013,40.47384008,18.75616979,12.83316881,21.71767029,5.923000987,5.923000987,10.85883514,1.974333662,2.523,44.58333333,0,0,0,14.4292610832,14.4292610832,18310.821441,0,0,37.9307103561,0,93,14,10.8924731182796
"417","KOLOWA",10,5,3,0,7,3,0,2,483,1610,2093,4.777830865,2.388915432,1.433349259,0,3.344481605,1.433349259,0,0.955566173,0,31.66666667,0,0,0,12.3421100181,12.3421100181,73677.33897344,0,0,7.90743633998,0,733,12,2.85538881309686
"418","KOLWA CENTRAL",11,11,4,5,2,4,5,2,1179,622,1801,6.107717934,6.107717934,2.22098834,2.776235425,1.11049417,2.22098834,2.776235425,1.11049417,1.51166667,68,0,0,3,1.74607449538,1.74607449538,1215.97607019,0,0,16.7977049042,0,48,3,37.5208333333333
"419","KOLWA EAST",3,3,0,1,2,0,1,2,624,41,665,4.511278195,4.511278195,0,1.503759398,3.007518797,0,1.503759398,3.007518797,1.69,64,0,0,0,1.70430840539,1.70430840539,3704.94496249,0,0,13.0755342487,0,74,3,8.98648648648649
"420","KOMAROCK",2,2,1,1,0,1,1,0,1339,685,2024,0.988142292,0.988142292,0.494071146,0.494071146,0,0.494071146,0.494071146,0,0,0,0,0,0,5.25717383515,5.25717383515,11183.39674103,0,7,15.0498511512,0,4,0,506
"421","KONDELE",2,2,0,1,1,0,1,1,1497,921,2418,0.827129859,0.827129859,0,0.41356493,0.41356493,0,0.41356493,0.41356493,1.285,52.5,0,0,0,0.566724364852,0.566724364852,3517.9720392,0,1,17.9010895504,0,2,1,1209
"422","KONGONI",21,21,3,17,1,3,17,1,763,174,937,22.41195304,22.41195304,3.201707577,18.14300961,1.067235859,3.201707577,18.14300961,1.067235859,2.93,51.25,0,0,8,1.4955969506,1.4955969506,29868.71363077,0,0,6.39966803429,0,44,26,21.2954545454545
"423","KOROGOCHO",2,2,2,0,0,2,0,0,1451,900,2351,0.850701829,0.850701829,0.850701829,0,0,0.850701829,0,0,0,15,0,0,0,2.6425037816,2.6425037816,9852.36938771,0,0,16.1947291202,0,1,1,2351
"424","KORONDILE",8,0,1,4,3,0,0,0,599,168,767,10.43024772,0,1.303780965,5.215123859,3.911342894,0,0,0,0,0,0,0,0,70.368420993,70.368420993,89852.25730112,5,0,32.466935064,0,2064,117,0.371608527131783
"425","KOSIRAI",6,0,2,3,1,0,0,0,858,317,1175,5.106382979,0,1.70212766,2.553191489,0.85106383,0,0,0,1.44666667,82.5,0,0,0,24.7536265599,24.7536265599,30286.78232693,0,0,1.65604548299,0,95,13,12.3684210526316
"426","KOTARUK/LOBEI",16,0,0,12,4,0,0,0,1176,702,1878,8.51970181,0,0,6.389776358,2.129925453,0,0,0,0,0,2,1,1,36.3708784855,36.3708784855,60500.09267975,0,0,5.79459845341,0,1497,83,1.25450901803607
"427","KOYO-NDURIO",13,5,1,9,3,1,2,2,517,8,525,24.76190476,9.523809524,1.904761905,17.14285714,5.714285714,1.904761905,3.80952381,3.80952381,1.77125,52.22222222,0,0,0,18.8050043366,18.8050043366,33630.18022182,0,3,10.27921967,1,82,6,6.40243902439024
"428","KOYONZO",27,16,9,14,4,6,7,3,1344,736,2080,12.98076923,7.692307692,4.326923077,6.730769231,1.923076923,2.884615385,3.365384615,1.442307692,3.48,63.33333333,0,0,0,23.8141688394,23.8141688394,27288.01800959,0,0,4.71706137948,0,69,31,30.1449275362319
"429","KUBO SOUTH",32,29,9,13,10,8,11,10,733,207,940,34.04255319,30.85106383,9.574468085,13.82978723,10.63829787,8.510638298,11.70212766,10.63829787,0,37.5,0,0,3,18.390536097,18.390536097,23545.31447304,0,1,139.17544213,0,186,22,5.05376344086022
"430","KURGUNG/SURUNGAI",8,8,4,3,1,4,3,1,385,1477,1862,4.296455424,4.296455424,2.148227712,1.611170784,0.537056928,2.148227712,1.611170784,0.537056928,2.3975,42.5,0,0,0,12.7338317337,12.7338317337,30901.37530355,0,0,7.39266262275,0,86,12,21.6511627906977
"431","KWA MUTONGA/KITHUMULA",25,7,4,16,5,0,4,3,413,1446,1859,13.44809037,3.765465304,2.151694459,8.606777838,2.689618074,0,2.151694459,1.613770845,1.06142857,57.85714286,0,0,0,4.46740467515,4.46740467515,16289.01082882,0,0,19.3214046787,0,169,18,11
"432","KWA NJENGA",1,1,1,0,0,1,0,0,808,374,1182,0.846023689,0.846023689,0.846023689,0,0,0.846023689,0,0,0,0,0,0,0,0.8028430394,0.8028430394,8935.24318908,0,0,8.16750181723,0,1,0,1182
"433","KWA REUBEN",1,1,1,0,0,1,0,0,902,572,1474,0.678426052,0.678426052,0.678426052,0,0,0.678426052,0,0,0,0,0,0,0,1.21239286613,1.21239286613,7083.22764965,0,1,7.45545332147,0,6,1,245.666666666667
"434","KWABWAI",31,5,10,14,7,4,1,0,1174,564,1738,17.83659379,2.876869965,5.753739931,8.055235903,4.027617952,2.301495972,0.575373993,0,1.95625,49.5,0,0,0,32.5838575943,32.5838575943,33458.75015316,0,0,12.5286872259,0,145,33,11.9862068965517
"435","KWARE",1,1,1,0,0,1,0,0,766,451,1217,0.821692687,0.821692687,0.821692687,0,0,0.821692687,0,0,0,0,0,0,0,1.35384455595,1.35384455595,9171.64767742,0,0,8.8377169956,0,2,0,608.5
"436","KYANGWITHYA EAST",24,24,8,13,3,8,13,3,861,276,1137,21.10817942,21.10817942,7.036059807,11.43359719,2.638522427,7.036059807,11.43359719,2.638522427,1.105,40.41666667,0,0,0,5.93729738874,5.93729738874,6737.88059428,0,0,7.99098575378,0,102,3,11.1470588235294
"437","KYELENI",17,7,6,9,2,1,4,2,364,1464,1828,9.299781182,3.829321663,3.282275711,4.923413567,1.094091904,0.547045952,2.188183807,1.094091904,1.25,51.25,0,0,0,9.55003836642,9.55003836642,17911.66377515,0,0,2.61359548353,0,86,3,21.2558139534884
"438","KYENI SOUTH",31,26,15,11,5,14,7,5,994,456,1450,21.37931034,17.93103448,10.34482759,7.586206897,3.448275862,9.655172414,4.827586207,3.448275862,3.0475,60,0,0,2,7.94321542457,7.94321542457,12519.79696937,0,4,20.9051783354,0,70,22,20.7142857142857
"439","KYUSO",38,6,7,23,8,2,4,0,1432,817,2249,16.8963984,2.667852379,3.112494442,10.22676745,3.557136505,0.889284126,1.778568253,0,1.11,40.27777778,1,0,4,29.522294617,29.522294617,47466.6005136,0,2,9.74155899828,0,799,29,2.81476846057572
"440","LABASIGALE",3,0,0,2,1,0,0,0,1523,969,2492,1.203852327,0,0,0.802568218,0.401284109,0,0,0,0,0,0,0,0,17.6980429567,17.6980429567,93816.18041808,0,0,44.8271617238,0,407,252,6.12285012285012
"441","LAGBOGHOL SOUTH",14,0,1,10,3,0,0,0,693,306,999,14.01401401,0,1.001001001,10.01001001,3.003003003,0,0,0,0,0,0,0,0,22.8117911325,22.8117911325,60974.61281834,14,0,4.91802646396,0,3408,264,0.293133802816901
"442","LAINI SABA",3,3,2,0,1,2,0,1,1031,639,1670,1.796407186,1.796407186,1.19760479,0,0.598802395,1.19760479,0,0.598802395,0,0,0,0,0,3.5439672312,3.5439672312,3472.94252481,0,0,8.19449387993,0,0,0,Inf
"443","LAKE ZONE",17,0,2,9,6,0,0,0,1298,799,2097,8.106819266,0,0.953743443,4.291845494,2.861230329,0,0,0,0,0,0,0,0,102.081556711,102.081556711,7609.60771895,0,0,105.513163499,4,5099,262,0.411257109237105
"444","LAKOLEY SOUTH/BASIR",5,3,0,2,3,0,1,2,1433,904,2337,2.139495079,1.283697047,0,0.855798032,1.283697047,0,0.427899016,0.855798032,0,0,0,0,0,103.342999985,103.342999985,115516.73139395,2,0,5.62403452909,0,1966,136,1.18870803662258
"445","LAMBWE",58,58,28,27,3,28,27,3,674,102,776,74.74226804,74.74226804,36.08247423,34.79381443,3.865979381,36.08247423,34.79381443,3.865979381,1.25,55,1,0,10,35.5520711572,35.5520711572,11607.16092469,0,0,22.8279009161,0,190,11,4.08421052631579
"446","LAPUR",16,0,3,7,6,0,0,0,656,197,853,18.75732708,0,3.516998828,8.206330598,7.033997655,0,0,0,0,0,0,0,0,148.551983893,148.551983893,62114.63038672,0,0,154.272077304,0,616,325,1.38474025974026
